date,station,team,defects,items,defect_rate
2022-01-02,S01,A,13.0,226,0.05752212389380531
2022-01-02,S10,C,12.0,180,0.06666666666666667
2022-01-02,S01,B,12.0,191,0.06282722513089005
2022-01-02,S08,A,11.0,168,0.06547619047619048
2022-01-02,S09,B,10.0,192,0.052083333333333336
2022-01-02,S06,C,10.0,224,0.044642857142857144
2022-01-02,S07,C,9.0,210,0.04285714285714286
2022-01-02,S05,A,8.0,217,0.03686635944700461
2022-01-03,S09,A,27.0,220,0.12272727272727273
2022-01-03,S03,B,26.0,220,0.11818181818181818
2022-01-03,S01,C,21.0,208,0.10096153846153846
2022-01-03,S08,C,19.0,200,0.095
2022-01-03,S07,C,19.0,189,0.10052910052910052
2022-01-03,S09,B,19.0,187,0.10160427807486631
2022-01-03,S05,A,18.0,168,0.10714285714285714
2022-01-03,S02,C,18.0,200,0.09
2022-01-03,S09,C,18.0,198,0.09090909090909091
2022-01-03,S02,A,17.0,174,0.09770114942528736
2022-01-03,S03,C,17.0,217,0.07834101382488479
2022-01-03,S04,C,17.0,186,0.0913978494623656
2022-01-03,S05,B,17.0,184,0.09239130434782608
2022-01-03,S08,B,16.0,194,0.08247422680412371
2022-01-03,S06,C,16.0,189,0.08465608465608465
2022-01-03,S05,C,16.0,170,0.09411764705882353
2022-01-03,S10,C,14.0,149,0.09395973154362416
2022-01-03,S02,B,14.0,193,0.07253886010362694
2022-01-03,S06,A,13.0,171,0.07602339181286549
2022-01-03,S10,A,13.0,179,0.07262569832402235
2022-01-03,S04,A,13.0,207,0.06280193236714976
2022-01-03,S03,A,13.0,181,0.0718232044198895
2022-01-03,S10,B,13.0,167,0.07784431137724551
2022-01-03,S04,B,11.0,166,0.06626506024096386
2022-01-03,S01,B,11.0,159,0.06918238993710692
2022-01-03,S08,A,11.0,173,0.06358381502890173
2022-01-03,S01,A,11.0,162,0.06790123456790123
2022-01-03,S07,B,11.0,154,0.07142857142857142
2022-01-03,S06,B,11.0,184,0.059782608695652176
2022-01-03,S07,A,9.0,183,0.04918032786885246
2022-01-04,S03,C,21.0,188,0.11170212765957446
2022-01-04,S03,B,20.0,208,0.09615384615384616
2022-01-04,S04,C,20.0,201,0.09950248756218906
2022-01-04,S07,C,19.0,230,0.08260869565217391
2022-01-04,S08,C,19.0,204,0.09313725490196079
2022-01-04,S01,A,18.0,184,0.09782608695652174
2022-01-04,S08,A,17.0,180,0.09444444444444444
2022-01-04,S04,B,17.0,193,0.08808290155440414
2022-01-04,S01,C,17.0,202,0.08415841584158416
2022-01-04,S04,A,16.0,182,0.08791208791208792
2022-01-04,S05,B,16.0,178,0.0898876404494382
2022-01-04,S02,A,15.0,160,0.09375
2022-01-04,S06,B,15.0,210,0.07142857142857142
2022-01-04,S03,A,15.0,195,0.07692307692307693
2022-01-04,S02,C,15.0,178,0.08426966292134831
2022-01-04,S09,B,15.0,191,0.07853403141361257
2022-01-04,S08,B,14.0,205,0.06829268292682927
2022-01-04,S10,C,14.0,228,0.06140350877192982
2022-01-04,S07,B,13.0,161,0.08074534161490683
2022-01-04,S09,A,13.0,161,0.08074534161490683
2022-01-04,S10,A,13.0,201,0.06467661691542288
2022-01-04,S10,B,13.0,177,0.07344632768361582
2022-01-04,S06,C,13.0,197,0.06598984771573604
2022-01-04,S07,A,13.0,203,0.06403940886699508
2022-01-04,S05,A,12.0,150,0.08
2022-01-04,S05,C,12.0,187,0.06417112299465241
2022-01-04,S06,A,12.0,179,0.0670391061452514
2022-01-04,S02,B,12.0,151,0.07947019867549669
2022-01-04,S01,B,10.0,217,0.04608294930875576
2022-01-04,S09,C,9.0,182,0.04945054945054945
2022-01-05,S06,B,24.0,225,0.10666666666666667
2022-01-05,S04,C,23.0,207,0.1111111111111111
2022-01-05,S07,A,23.0,197,0.116751269035533
2022-01-05,S02,B,21.0,184,0.11413043478260869
2022-01-05,S04,B,19.0,195,0.09743589743589744
2022-01-05,S05,B,19.0,195,0.09743589743589744
2022-01-05,S08,A,19.0,159,0.11949685534591195
2022-01-05,S10,B,19.0,164,0.11585365853658537
2022-01-05,S04,A,18.0,209,0.0861244019138756
2022-01-05,S10,C,17.0,201,0.0845771144278607
2022-01-05,S03,B,17.0,181,0.09392265193370165
2022-01-05,S06,A,16.0,213,0.07511737089201878
2022-01-05,S05,C,15.0,206,0.07281553398058252
2022-01-05,S03,A,15.0,166,0.09036144578313253
2022-01-05,S01,A,15.0,184,0.08152173913043478
2022-01-05,S08,B,14.0,147,0.09523809523809523
2022-01-05,S09,B,13.0,209,0.06220095693779904
2022-01-05,S07,B,12.0,167,0.0718562874251497
2022-01-05,S09,A,12.0,182,0.06593406593406594
2022-01-05,S05,A,12.0,210,0.05714285714285714
2022-01-05,S08,C,12.0,159,0.07547169811320754
2022-01-05,S06,C,11.0,207,0.05314009661835749
2022-01-05,S02,C,11.0,139,0.07913669064748201
2022-01-05,S09,C,11.0,198,0.05555555555555555
2022-01-05,S01,B,10.0,159,0.06289308176100629
2022-01-05,S02,A,10.0,192,0.052083333333333336
2022-01-05,S03,C,9.0,175,0.05142857142857143
2022-01-05,S07,C,9.0,146,0.06164383561643835
2022-01-05,S10,A,8.0,182,0.04395604395604396
2022-01-05,S01,C,6.0,169,0.03550295857988166
2022-01-06,S01,C,22.0,202,0.10891089108910891
2022-01-06,S05,B,22.0,229,0.09606986899563319
2022-01-06,S08,A,21.0,203,0.10344827586206896
2022-01-06,S06,A,20.0,154,0.12987012987012986
2022-01-06,S07,A,20.0,197,0.10152284263959391
2022-01-06,S05,A,19.0,207,0.09178743961352658
2022-01-06,S03,C,19.0,184,0.10326086956521739
2022-01-06,S09,C,18.0,164,0.10975609756097561
2022-01-06,S04,B,18.0,227,0.07929515418502203
2022-01-06,S07,C,18.0,217,0.08294930875576037
2022-01-06,S01,B,18.0,164,0.10975609756097561
2022-01-06,S09,B,16.0,154,0.1038961038961039
2022-01-06,S08,C,16.0,191,0.08376963350785341
2022-01-06,S05,C,16.0,184,0.08695652173913043
2022-01-06,S04,A,16.0,172,0.09302325581395349
2022-01-06,S10,C,15.0,154,0.09740259740259741
2022-01-06,S06,C,15.0,139,0.1079136690647482
2022-01-06,S10,B,15.0,209,0.07177033492822966
2022-01-06,S06,B,14.0,187,0.0748663101604278
2022-01-06,S02,B,14.0,170,0.08235294117647059
2022-01-06,S04,C,14.0,219,0.0639269406392694
2022-01-06,S03,B,13.0,210,0.06190476190476191
2022-01-06,S01,A,12.0,180,0.06666666666666667
2022-01-06,S02,C,12.0,159,0.07547169811320754
2022-01-06,S02,A,11.0,179,0.061452513966480445
2022-01-06,S03,A,11.0,193,0.05699481865284974
2022-01-06,S09,A,11.0,163,0.06748466257668712
2022-01-06,S07,B,10.0,201,0.04975124378109453
2022-01-06,S08,B,10.0,160,0.0625
2022-01-06,S10,A,8.0,194,0.041237113402061855
2022-01-07,S02,C,21.0,190,0.11052631578947368
2022-01-07,S05,C,20.0,242,0.08264462809917356
2022-01-07,S04,B,19.0,176,0.10795454545454546
2022-01-07,S06,B,19.0,197,0.09644670050761421
2022-01-07,S07,B,19.0,207,0.09178743961352658
2022-01-07,S01,C,18.0,168,0.10714285714285714
2022-01-07,S01,A,18.0,213,0.08450704225352113
2022-01-07,S08,B,18.0,185,0.0972972972972973
2022-01-07,S09,A,17.0,206,0.0825242718446602
2022-01-07,S02,B,16.0,185,0.08648648648648649
2022-01-07,S03,B,16.0,168,0.09523809523809523
2022-01-07,S04,C,16.0,188,0.0851063829787234
2022-01-07,S09,B,16.0,204,0.0784313725490196
2022-01-07,S03,A,16.0,184,0.08695652173913043
2022-01-07,S08,A,14.0,165,0.08484848484848485
2022-01-07,S09,C,14.0,197,0.07106598984771574
2022-01-07,S05,B,14.0,191,0.07329842931937172
2022-01-07,S10,C,14.0,174,0.08045977011494253
2022-01-07,S01,B,13.0,188,0.06914893617021277
2022-01-07,S02,A,13.0,217,0.059907834101382486
2022-01-07,S04,A,13.0,170,0.07647058823529412
2022-01-07,S07,A,12.0,171,0.07017543859649122
2022-01-07,S08,C,12.0,159,0.07547169811320754
2022-01-07,S07,C,11.0,178,0.06179775280898876
2022-01-07,S03,C,10.0,184,0.05434782608695652
2022-01-07,S06,A,10.0,176,0.056818181818181816
2022-01-07,S05,A,9.0,156,0.057692307692307696
2022-01-07,S10,A,9.0,137,0.06569343065693431
2022-01-07,S06,C,8.0,183,0.04371584699453552
2022-01-07,S10,B,5.0,139,0.03597122302158273
2022-01-08,S06,A,22.0,220,0.1
2022-01-08,S01,B,20.0,192,0.10416666666666667
2022-01-08,S02,C,19.0,187,0.10160427807486631
2022-01-08,S10,A,18.0,165,0.10909090909090909
2022-01-08,S04,C,17.0,189,0.08994708994708994
2022-01-08,S01,C,17.0,186,0.0913978494623656
2022-01-08,S08,B,17.0,145,0.11724137931034483
2022-01-08,S09,C,16.0,195,0.08205128205128205
2022-01-08,S02,A,15.0,169,0.08875739644970414
2022-01-08,S03,A,15.0,164,0.09146341463414634
2022-01-08,S05,C,15.0,194,0.07731958762886598
2022-01-08,S07,A,14.0,151,0.09271523178807947
2022-01-08,S05,B,13.0,162,0.08024691358024691
2022-01-08,S07,C,13.0,189,0.06878306878306878
2022-01-08,S10,C,13.0,189,0.06878306878306878
2022-01-08,S03,B,12.0,176,0.06818181818181818
2022-01-08,S06,B,12.0,170,0.07058823529411765
2022-01-08,S08,A,12.0,158,0.0759493670886076
2022-01-08,S10,B,12.0,179,0.0670391061452514
2022-01-08,S09,B,12.0,188,0.06382978723404255
2022-01-08,S07,B,12.0,193,0.06217616580310881
2022-01-08,S09,A,11.0,184,0.059782608695652176
2022-01-08,S06,C,11.0,165,0.06666666666666667
2022-01-08,S08,C,11.0,162,0.06790123456790123
2022-01-08,S04,A,10.0,183,0.0546448087431694
2022-01-08,S02,B,10.0,190,0.05263157894736842
2022-01-08,S01,A,9.0,135,0.06666666666666667
2022-01-08,S03,C,8.0,154,0.05194805194805195
2022-01-08,S04,B,8.0,183,0.04371584699453552
2022-01-08,S05,A,7.0,142,0.04929577464788732
2022-01-09,S06,B,21.0,175,0.12
2022-01-09,S03,A,20.0,180,0.1111111111111111
2022-01-09,S08,B,19.0,184,0.10326086956521739
2022-01-09,S02,A,16.0,177,0.0903954802259887
2022-01-09,S03,B,16.0,172,0.09302325581395349
2022-01-09,S06,C,15.0,184,0.08152173913043478
2022-01-09,S09,C,15.0,157,0.09554140127388536
2022-01-09,S10,B,14.0,140,0.1
2022-01-09,S02,C,14.0,180,0.07777777777777778
2022-01-09,S03,C,14.0,166,0.08433734939759036
2022-01-09,S04,C,14.0,169,0.08284023668639054
2022-01-09,S10,A,14.0,162,0.08641975308641975
2022-01-09,S10,C,13.0,213,0.06103286384976526
2022-01-09,S07,C,13.0,161,0.08074534161490683
2022-01-09,S07,A,13.0,163,0.07975460122699386
2022-01-09,S07,B,12.0,142,0.08450704225352113
2022-01-09,S05,B,12.0,143,0.08391608391608392
2022-01-09,S04,B,12.0,187,0.06417112299465241
2022-01-09,S08,C,12.0,171,0.07017543859649122
2022-01-09,S01,A,11.0,152,0.07236842105263158
2022-01-09,S08,A,11.0,171,0.06432748538011696
2022-01-09,S05,A,11.0,156,0.07051282051282051
2022-01-09,S01,B,11.0,159,0.06918238993710692
2022-01-09,S04,A,9.0,179,0.05027932960893855
2022-01-09,S06,A,9.0,151,0.059602649006622516
2022-01-09,S09,B,9.0,154,0.05844155844155844
2022-01-09,S09,A,9.0,187,0.0481283422459893
2022-01-09,S01,C,9.0,178,0.05056179775280899
2022-01-09,S05,C,8.0,190,0.042105263157894736
2022-01-09,S02,B,7.0,183,0.03825136612021858
2022-01-10,S01,A,24.0,204,0.11764705882352941
2022-01-10,S02,A,21.0,177,0.11864406779661017
2022-01-10,S06,C,18.0,172,0.10465116279069768
2022-01-10,S01,C,17.0,170,0.1
2022-01-10,S04,A,16.0,194,0.08247422680412371
2022-01-10,S07,C,16.0,192,0.08333333333333333
2022-01-10,S03,C,16.0,172,0.09302325581395349
2022-01-10,S02,B,16.0,166,0.0963855421686747
2022-01-10,S09,C,16.0,147,0.10884353741496598
2022-01-10,S05,B,15.0,199,0.07537688442211055
2022-01-10,S10,C,15.0,173,0.08670520231213873
2022-01-10,S08,B,14.0,173,0.08092485549132948
2022-01-10,S09,A,14.0,159,0.0880503144654088
2022-01-10,S07,B,14.0,192,0.07291666666666667
2022-01-10,S08,C,13.0,216,0.06018518518518518
2022-01-10,S06,A,13.0,145,0.0896551724137931
2022-01-10,S01,B,13.0,158,0.08227848101265822
2022-01-10,S10,A,12.0,174,0.06896551724137931
2022-01-10,S05,C,12.0,168,0.07142857142857142
2022-01-10,S03,B,12.0,173,0.06936416184971098
2022-01-10,S05,A,12.0,168,0.07142857142857142
2022-01-10,S04,B,12.0,150,0.08
2022-01-10,S08,A,12.0,186,0.06451612903225806
2022-01-10,S10,B,12.0,177,0.06779661016949153
2022-01-10,S07,A,11.0,154,0.07142857142857142
2022-01-10,S03,A,10.0,170,0.058823529411764705
2022-01-10,S06,B,8.0,143,0.055944055944055944
2022-01-10,S02,C,7.0,163,0.04294478527607362
2022-01-10,S04,C,7.0,153,0.0457516339869281
2022-01-10,S09,B,5.0,180,0.027777777777777776
2022-01-11,S05,C,22.0,205,0.1073170731707317
2022-01-11,S02,C,21.0,192,0.109375
2022-01-11,S03,C,18.0,195,0.09230769230769231
2022-01-11,S09,A,18.0,175,0.10285714285714286
2022-01-11,S07,B,18.0,156,0.11538461538461539
2022-01-11,S01,A,18.0,196,0.09183673469387756
2022-01-11,S10,A,18.0,174,0.10344827586206896
2022-01-11,S07,A,18.0,192,0.09375
2022-01-11,S08,B,18.0,196,0.09183673469387756
2022-01-11,S05,A,18.0,207,0.08695652173913043
2022-01-11,S01,B,17.0,166,0.10240963855421686
2022-01-11,S03,A,17.0,199,0.08542713567839195
2022-01-11,S10,B,17.0,166,0.10240963855421686
2022-01-11,S10,C,17.0,157,0.10828025477707007
2022-01-11,S05,B,16.0,184,0.08695652173913043
2022-01-11,S04,A,16.0,160,0.1
2022-01-11,S02,B,16.0,173,0.09248554913294797
2022-01-11,S04,C,16.0,192,0.08333333333333333
2022-01-11,S06,C,16.0,187,0.0855614973262032
2022-01-11,S08,C,14.0,161,0.08695652173913043
2022-01-11,S06,B,14.0,183,0.07650273224043716
2022-01-11,S03,B,13.0,179,0.07262569832402235
2022-01-11,S09,B,13.0,202,0.06435643564356436
2022-01-11,S01,C,12.0,160,0.075
2022-01-11,S06,A,11.0,168,0.06547619047619048
2022-01-11,S02,A,11.0,150,0.07333333333333333
2022-01-11,S04,B,11.0,176,0.0625
2022-01-11,S08,A,10.0,134,0.07462686567164178
2022-01-11,S09,C,9.0,167,0.05389221556886228
2022-01-11,S07,C,8.0,166,0.04819277108433735
2022-01-12,S05,B,21.0,182,0.11538461538461539
2022-01-12,S01,B,21.0,162,0.12962962962962962
2022-01-12,S01,C,21.0,172,0.12209302325581395
2022-01-12,S09,C,21.0,169,0.1242603550295858
2022-01-12,S07,A,20.0,207,0.0966183574879227
2022-01-12,S05,C,20.0,196,0.10204081632653061
2022-01-12,S03,C,20.0,173,0.11560693641618497
2022-01-12,S01,A,19.0,190,0.1
2022-01-12,S09,A,19.0,186,0.10215053763440861
2022-01-12,S10,C,18.0,207,0.08695652173913043
2022-01-12,S04,C,18.0,159,0.11320754716981132
2022-01-12,S06,A,18.0,196,0.09183673469387756
2022-01-12,S04,B,18.0,161,0.11180124223602485
2022-01-12,S08,B,17.0,199,0.08542713567839195
2022-01-12,S08,A,17.0,189,0.08994708994708994
2022-01-12,S03,A,16.0,202,0.07920792079207921
2022-01-12,S06,B,15.0,167,0.08982035928143713
2022-01-12,S04,A,14.0,187,0.0748663101604278
2022-01-12,S10,B,14.0,187,0.0748663101604278
2022-01-12,S05,A,13.0,152,0.08552631578947369
2022-01-12,S08,C,13.0,191,0.06806282722513089
2022-01-12,S07,C,12.0,190,0.06315789473684211
2022-01-12,S02,A,11.0,180,0.06111111111111111
2022-01-12,S10,A,11.0,146,0.07534246575342465
2022-01-12,S06,C,10.0,139,0.07194244604316546
2022-01-12,S02,C,10.0,169,0.05917159763313609
2022-01-12,S09,B,10.0,180,0.05555555555555555
2022-01-12,S02,B,9.0,192,0.046875
2022-01-12,S07,B,6.0,170,0.03529411764705882
2022-01-12,S03,B,5.0,187,0.026737967914438502
2022-01-13,S07,A,22.0,200,0.11
2022-01-13,S03,B,21.0,170,0.12352941176470589
2022-01-13,S07,C,21.0,188,0.11170212765957446
2022-01-13,S04,A,20.0,234,0.08547008547008547
2022-01-13,S03,A,20.0,200,0.1
2022-01-13,S02,C,19.0,184,0.10326086956521739
2022-01-13,S08,A,19.0,182,0.1043956043956044
2022-01-13,S06,C,19.0,215,0.08837209302325581
2022-01-13,S05,A,18.0,163,0.11042944785276074
2022-01-13,S02,B,17.0,133,0.12781954887218044
2022-01-13,S06,A,17.0,232,0.07327586206896551
2022-01-13,S10,B,17.0,154,0.11038961038961038
2022-01-13,S04,C,17.0,216,0.0787037037037037
2022-01-13,S04,B,16.0,186,0.08602150537634409
2022-01-13,S07,B,16.0,188,0.0851063829787234
2022-01-13,S06,B,15.0,214,0.07009345794392523
2022-01-13,S08,C,14.0,163,0.08588957055214724
2022-01-13,S05,C,14.0,182,0.07692307692307693
2022-01-13,S01,C,13.0,159,0.08176100628930817
2022-01-13,S09,A,13.0,209,0.06220095693779904
2022-01-13,S08,B,13.0,167,0.07784431137724551
2022-01-13,S10,A,13.0,191,0.06806282722513089
2022-01-13,S02,A,13.0,186,0.06989247311827956
2022-01-13,S01,B,12.0,189,0.06349206349206349
2022-01-13,S01,A,12.0,156,0.07692307692307693
2022-01-13,S10,C,11.0,203,0.054187192118226604
2022-01-13,S03,C,11.0,183,0.060109289617486336
2022-01-13,S09,B,11.0,148,0.07432432432432433
2022-01-13,S09,C,9.0,171,0.05263157894736842
2022-01-13,S05,B,9.0,140,0.06428571428571428
2022-01-14,S05,B,24.0,203,0.11822660098522167
2022-01-14,S09,A,22.0,179,0.12290502793296089
2022-01-14,S07,B,20.0,179,0.11173184357541899
2022-01-14,S09,B,20.0,184,0.10869565217391304
2022-01-14,S03,B,19.0,200,0.095
2022-01-14,S05,A,19.0,178,0.10674157303370786
2022-01-14,S03,C,18.0,186,0.0967741935483871
2022-01-14,S10,B,18.0,175,0.10285714285714286
2022-01-14,S02,C,18.0,184,0.09782608695652174
2022-01-14,S10,C,18.0,170,0.10588235294117647
2022-01-14,S06,C,17.0,194,0.08762886597938144
2022-01-14,S07,C,17.0,196,0.08673469387755102
2022-01-14,S02,B,17.0,149,0.11409395973154363
2022-01-14,S02,A,17.0,179,0.09497206703910614
2022-01-14,S04,C,17.0,201,0.0845771144278607
2022-01-14,S05,C,17.0,210,0.08095238095238096
2022-01-14,S01,B,16.0,210,0.0761904761904762
2022-01-14,S01,C,15.0,198,0.07575757575757576
2022-01-14,S07,A,15.0,185,0.08108108108108109
2022-01-14,S04,B,14.0,183,0.07650273224043716
2022-01-14,S08,B,14.0,172,0.08139534883720931
2022-01-14,S08,C,13.0,180,0.07222222222222222
2022-01-14,S03,A,13.0,204,0.06372549019607843
2022-01-14,S04,A,13.0,201,0.06467661691542288
2022-01-14,S09,C,13.0,182,0.07142857142857142
2022-01-14,S08,A,12.0,184,0.06521739130434782
2022-01-14,S06,B,12.0,171,0.07017543859649122
2022-01-14,S01,A,10.0,187,0.053475935828877004
2022-01-14,S06,A,9.0,169,0.05325443786982249
2022-01-14,S10,A,6.0,152,0.039473684210526314
2022-01-15,S02,B,21.0,192,0.109375
2022-01-15,S02,C,21.0,229,0.09170305676855896
2022-01-15,S08,C,18.0,217,0.08294930875576037
2022-01-15,S07,A,18.0,222,0.08108108108108109
2022-01-15,S07,B,16.0,166,0.0963855421686747
2022-01-15,S06,C,16.0,223,0.07174887892376682
2022-01-15,S08,A,16.0,166,0.0963855421686747
2022-01-15,S04,C,16.0,183,0.08743169398907104
2022-01-15,S10,A,16.0,135,0.11851851851851852
2022-01-15,S08,B,15.0,204,0.07352941176470588
2022-01-15,S09,B,15.0,171,0.08771929824561403
2022-01-15,S03,A,14.0,185,0.07567567567567568
2022-01-15,S07,C,14.0,187,0.0748663101604278
2022-01-15,S05,A,14.0,175,0.08
2022-01-15,S06,B,13.0,160,0.08125
2022-01-15,S01,C,13.0,177,0.07344632768361582
2022-01-15,S03,C,13.0,154,0.08441558441558442
2022-01-15,S01,A,12.0,157,0.07643312101910828
2022-01-15,S09,C,12.0,175,0.06857142857142857
2022-01-15,S06,A,12.0,196,0.061224489795918366
2022-01-15,S05,B,11.0,186,0.05913978494623656
2022-01-15,S10,C,11.0,148,0.07432432432432433
2022-01-15,S10,B,10.0,168,0.05952380952380952
2022-01-15,S05,C,10.0,218,0.045871559633027525
2022-01-15,S03,B,10.0,134,0.07462686567164178
2022-01-15,S01,B,10.0,187,0.053475935828877004
2022-01-15,S04,B,9.0,150,0.06
2022-01-15,S04,A,8.0,158,0.05063291139240506
2022-01-15,S09,A,8.0,173,0.046242774566473986
2022-01-15,S02,A,7.0,150,0.04666666666666667
2022-01-16,S08,C,26.0,211,0.12322274881516587
2022-01-16,S09,B,26.0,245,0.10612244897959183
2022-01-16,S03,B,25.0,173,0.14450867052023122
2022-01-16,S10,B,22.0,188,0.11702127659574468
2022-01-16,S04,A,20.0,245,0.08163265306122448
2022-01-16,S01,B,19.0,172,0.11046511627906977
2022-01-16,S03,A,19.0,191,0.09947643979057591
2022-01-16,S09,C,19.0,180,0.10555555555555556
2022-01-16,S05,B,18.0,160,0.1125
2022-01-16,S04,B,18.0,185,0.0972972972972973
2022-01-16,S10,C,17.0,163,0.10429447852760736
2022-01-16,S03,C,16.0,194,0.08247422680412371
2022-01-16,S07,B,16.0,193,0.08290155440414508
2022-01-16,S09,A,15.0,192,0.078125
2022-01-16,S01,A,15.0,149,0.10067114093959731
2022-01-16,S02,C,14.0,180,0.07777777777777778
2022-01-16,S10,A,13.0,167,0.07784431137724551
2022-01-16,S01,C,13.0,177,0.07344632768361582
2022-01-16,S02,A,13.0,185,0.07027027027027027
2022-01-16,S07,A,12.0,173,0.06936416184971098
2022-01-16,S02,B,12.0,184,0.06521739130434782
2022-01-16,S05,A,12.0,183,0.06557377049180328
2022-01-16,S06,B,12.0,145,0.08275862068965517
2022-01-16,S08,A,12.0,174,0.06896551724137931
2022-01-16,S06,A,12.0,159,0.07547169811320754
2022-01-16,S08,B,12.0,165,0.07272727272727272
2022-01-16,S06,C,12.0,199,0.06030150753768844
2022-01-16,S07,C,11.0,167,0.0658682634730539
2022-01-16,S05,C,8.0,164,0.04878048780487805
2022-01-16,S04,C,6.0,179,0.0335195530726257
2022-01-17,S07,A,22.0,183,0.12021857923497267
2022-01-17,S02,C,20.0,201,0.09950248756218906
2022-01-17,S04,C,20.0,185,0.10810810810810811
2022-01-17,S07,B,20.0,193,0.10362694300518134
2022-01-17,S05,A,19.0,179,0.10614525139664804
2022-01-17,S08,A,17.0,136,0.125
2022-01-17,S08,C,17.0,185,0.0918918918918919
2022-01-17,S10,C,17.0,180,0.09444444444444444
2022-01-17,S05,C,16.0,194,0.08247422680412371
2022-01-17,S02,B,15.0,193,0.07772020725388601
2022-01-17,S05,B,15.0,215,0.06976744186046512
2022-01-17,S03,A,15.0,180,0.08333333333333333
2022-01-17,S04,B,14.0,148,0.0945945945945946
2022-01-17,S09,C,14.0,166,0.08433734939759036
2022-01-17,S09,B,14.0,159,0.0880503144654088
2022-01-17,S01,C,14.0,166,0.08433734939759036
2022-01-17,S01,B,14.0,153,0.0915032679738562
2022-01-17,S08,B,14.0,129,0.10852713178294573
2022-01-17,S10,A,13.0,154,0.08441558441558442
2022-01-17,S02,A,13.0,201,0.06467661691542288
2022-01-17,S03,B,12.0,174,0.06896551724137931
2022-01-17,S06,C,12.0,156,0.07692307692307693
2022-01-17,S06,A,11.0,153,0.0718954248366013
2022-01-17,S03,C,11.0,165,0.06666666666666667
2022-01-17,S07,C,10.0,176,0.056818181818181816
2022-01-17,S10,B,10.0,171,0.05847953216374269
2022-01-17,S06,B,9.0,157,0.05732484076433121
2022-01-17,S04,A,9.0,202,0.04455445544554455
2022-01-17,S01,A,8.0,154,0.05194805194805195
2022-01-17,S09,A,8.0,148,0.05405405405405406
2022-01-18,S03,C,25.0,187,0.13368983957219252
2022-01-18,S03,B,23.0,214,0.10747663551401869
2022-01-18,S05,B,23.0,178,0.12921348314606743
2022-01-18,S03,A,23.0,206,0.11165048543689321
2022-01-18,S07,A,21.0,192,0.109375
2022-01-18,S07,B,21.0,183,0.11475409836065574
2022-01-18,S09,A,21.0,220,0.09545454545454546
2022-01-18,S07,C,20.0,200,0.1
2022-01-18,S09,B,19.0,198,0.09595959595959595
2022-01-18,S06,A,18.0,195,0.09230769230769231
2022-01-18,S04,C,18.0,146,0.1232876712328767
2022-01-18,S06,C,18.0,171,0.10526315789473684
